,State,County,Tract,Number of families,Number of families below poverty line,Vacancy,Coastal Flooding Risk Score,Percent below poverty line,Family median income,Housing Cost,At Risk
0,Florida,Alachua,3.01,508,41.0,297,0.0,7.9,48464.0,852.0,0
1,Florida,Alachua,3.02,574,30.0,156,0.0,5.1,65109.0,924.0,0
2,Florida,Alachua,4,1393,267.0,159,0.0,19.1,55224.0,961.0,0
3,Florida,Alachua,5,846,156.0,391,0.0,18.4,96591.0,1162.0,0
4,Florida,Alachua,6,1454,486.0,256,0.0,33.4,27402.0,792.0,0
5,Florida,Alachua,7,1578,387.0,398,0.0,24.5,48134.0,869.0,0
6,Florida,Alachua,8.06,458,124.0,226,0.0,26.9,39800.0,960.0,0
7,Florida,Alachua,8.08,497,39.0,232,0.0,7.8,81654.0,1162.0,0
8,Florida,Alachua,8.09,184,28.0,265,0.0,14.7,43900.0,1038.0,0
9,Florida,Alachua,9.01,158,16.0,255,0.0,9.5,35938.0,778.0,0
10,Florida,Alachua,10,714,68.0,469,0.0,9.4,113750.0,1198.0,0
11,Florida,Alachua,11,1550,41.0,255,0.0,2.6,146591.0,1307.0,0
12,Florida,Alachua,12.01,655,4.0,117,0.0,0.6,103580.0,1089.0,0
13,Florida,Alachua,12.02,1698,46.0,205,0.0,2.7,104385.0,1140.0,0
14,Florida,Alachua,12.03,789,35.0,85,0.0,4.4,75028.0,1255.0,0
15,Florida,Alachua,14,601,130.0,85,0.0,21.6,59315.0,864.0,0
16,Florida,Alachua,15.14,198,0.0,254,0.0,0.0,69375.0,1460.0,0
17,Florida,Alachua,15.15,498,120.0,797,0.0,23.9,41316.0,1041.0,0
18,Florida,Alachua,15.16,225,41.0,244,0.0,18.2,40139.0,1155.0,0
19,Florida,Alachua,15.17,580,29.0,390,0.0,5.0,63627.0,1361.0,0
20,Florida,Alachua,15.19,259,54.0,211,0.0,20.8,63750.0,1381.0,0
21,Florida,Alachua,15.22,530,83.0,872,0.0,15.5,51083.0,1088.0,0
22,Florida,Alachua,16.05,1122,165.0,1071,0.0,14.7,86587.0,1250.0,0
23,Florida,Alachua,17.01,1260,61.0,525,0.0,4.8,103333.0,1488.0,0
24,Florida,Alachua,17.02,1343,34.0,140,0.0,2.5,82240.0,833.0,0
25,Florida,Alachua,18.02,757,146.0,187,0.0,19.2,47370.0,846.0,0
26,Florida,Alachua,18.03,1696,196.0,284,0.0,11.5,105375.0,1165.0,0
27,Florida,Alachua,18.11,1729,73.0,170,0.0,4.2,102299.0,1539.0,0
28,Florida,Alachua,18.13,1262,9.0,38,0.0,0.7,117500.0,1405.0,0
29,Florida,Alachua,18.15,488,43.0,99,0.0,8.8,102083.0,1043.0,0
30,Florida,Alachua,18.16,1352,152.0,424,0.0,11.2,76685.0,1026.0,0
31,Florida,Alachua,18.17,1355,9.0,165,0.0,0.6,105871.0,1337.0,0
32,Florida,Alachua,18.18,1311,53.0,177,0.0,4.0,101840.0,1041.0,0
33,Florida,Alachua,18.19,1140,28.0,119,0.0,2.4,92054.0,1178.0,0
34,Florida,Alachua,19.02,694,284.0,198,0.0,40.9,35021.0,878.0,0
35,Florida,Alachua,19.07,659,39.0,211,0.0,5.9,62058.0,670.0,0
36,Florida,Alachua,19.08,1178,71.0,233,0.0,6.0,73207.0,848.0,0
37,Florida,Alachua,20.01,354,19.0,188,0.0,5.1,54274.0,500.0,0
38,Florida,Alachua,20.02,1089,199.0,243,0.0,18.2,41588.0,760.0,0
39,Florida,Alachua,21.01,516,18.0,202,0.0,3.3,87500.0,791.0,0
40,Florida,Alachua,21.02,174,0.0,86,0.0,0.0,89545.0,639.0,0
41,Florida,Alachua,22.01,1655,65.0,150,0.0,3.9,109076.0,1322.0,0
42,Florida,Alachua,22.02,1632,72.0,297,0.0,4.4,108958.0,1283.0,0
43,Florida,Alachua,22.04,3372,240.0,367,0.0,7.1,119402.0,1743.0,0
44,Florida,Alachua,22.07,959,0.0,79,0.0,0.0,132659.0,1591.0,0
45,Florida,Alachua,22.08,943,21.0,106,0.0,2.2,144940.0,2049.0,0
46,Florida,Alachua,22.09,2267,148.0,46,0.0,6.5,132434.0,1316.0,0
47,Florida,Alachua,22.10,1349,104.0,159,0.0,7.7,101528.0,979.0,0
48,Florida,Alachua,22.17,1306,143.0,780,0.0,10.9,49920.0,1120.0,0
49,Florida,Alachua,22.18,350,59.0,210,0.0,16.6,51111.0,1200.0,0
50,Florida,Alachua,22.19,1281,33.0,516,0.0,2.5,91319.0,1272.0,0
51,Florida,Alachua,22.20,532,10.0,195,0.0,1.7,95962.0,1197.0,0
52,Florida,Alachua,22.21,1420,18.0,36,0.0,1.2,111500.0,1764.0,0
53,Florida,Alachua,22.22,2004,41.0,185,0.0,2.0,181600.0,1692.0,0
54,Florida,Alachua,1108,416,20.0,116,0.0,4.8,136667.0,1515.0,0
55,Florida,Baker,401.01,2094,289.0,123,0.0,13.8,87821.0,1220.0,0
56,Florida,Baker,401.02,1675,94.0,365,0.0,5.6,86486.0,746.0,0
57,Florida,Baker,402.01,1188,307.0,287,0.0,25.8,58398.0,917.0,0
58,Florida,Baker,402.02,1685,167.0,111,0.0,9.9,84890.0,888.0,0
59,Florida,Bay,2.01,1427,216.0,212,77.63064489706765,15.1,82850.0,858.0,0
60,Florida,Bay,2.03,753,110.0,188,88.91224813,14.6,56306.0,784.0,1
61,Florida,Bay,2.04,980,66.0,185,86.24747447168679,6.7,92955.0,1312.0,0
62,Florida,Bay,3.01,804,279.0,47,0.0,34.7,43462.0,410.0,0
63,Florida,Bay,3.02,1652,247.0,325,74.94675913285644,14.9,60417.0,827.0,0
64,Florida,Bay,4.01,671,94.0,79,73.92562660405174,14.0,64487.0,1050.0,0
